structural_type,construction_material,fire_load_type,wall_thickness,height_floors,temperature,wind,humidity,area_m2,paint,room_number,room_occupants,fire_resistance
Sandstone,Steel,Residential,1,4,12.959705419463344,1.2604508820581322,78.23341524674875,921,Fire Resistant Paint,7,10,2.1
Brick,Concrete,Residential,1,2,20.137593062297242,3.144787613617792,40.57894734444634,1095,Fire Resistant Paint,6,10,5.3
Brick,Timber,Commercial,2,11,14.668909785166289,7.5373611270679755,63.02159063555566,1776,Fire Resistant Paint,97,42,2.3
Masonry Structures,Steel,Residential,1,3,25.818097954359416,7.668687350514042,61.19930720351117,1659,Standard Paint,6,10,2.1
Brick,Steel,Commercial,1,46,32.65314619718339,2.6853576117926323,49.89114147582752,1810,Fire Resistant Paint,70,29,3.4
Reinforced Concrete Structures,Timber,Residential,1,3,14.529059451538167,7.412453819055859,68.66297951124389,1270,Standard Paint,7,4,4.4
Timber Structures,Steel,Residential,2,5,11.140138017807557,4.972367051341524,58.5708734949814,315,Fire Resistant Paint,9,2,2.3
Brick,Timber,Residential,1,2,30.948094396925388,7.9986644140346,67.13596361653693,565,Standard Paint,6,8,3.2
Reinforced Concrete Structures,Concrete,Commercial,1,44,22.764256125372853,8.220207491930678,67.12020590888832,787,Fire Resistant Paint,95,11,4.5
Reinforced Concrete Structures,Steel,Residential,1,2,17.836042605330874,8.586254004642072,64.96644896288421,425,Fire Resistant Paint,4,4,1.7
Masonry Structures,Steel,Commercial,1,45,28.796562322462517,4.945584444123466,43.8087770845497,539,Standard Paint,68,39,1.5
Reinforced Concrete Structures,Steel,Residential,1,2,25.93212237021227,4.265444453479709,43.23770820201547,367,Fire Resistant Paint,3,7,1.5
Sandstone,Timber,Residential,1,3,18.064337742661543,7.232801223095812,86.19574838379307,600,Standard Paint,7,8,5.2
Masonry Structures,Concrete,Commercial,1,34,11.703987273806815,9.406725459882054,40.21798243775077,1820,Standard Paint,72,10,4.0
Sandstone,Concrete,Residential,1,5,12.101031534029435,8.100409292611458,74.67216820628025,295,Standard Paint,8,7,2.3
Timber Structures,Timber,Commercial,1,42,23.70518602595144,4.322229367021601,76.02969039491535,1973,Fire Resistant Paint,81,30,5.5
Masonry Structures,Steel,Commercial,1,38,20.726114599803235,3.6435821513630393,72.19818017370045,1896,Fire Resistant Paint,75,28,4.9
Masonry Structures,Timber,Commercial,2,6,26.820613337388313,4.6507351278434035,46.29815572465546,749,Standard Paint,24,47,2.7
Brick,Concrete,Commercial,1,23,19.857959200550468,6.269575925207809,75.33749999672372,1275,Fire Resistant Paint,98,39,4.5
Brick,Timber,Residential,2,4,11.783916069361297,1.1342852417633646,61.536433737840696,466,Fire Resistant Paint,6,6,6.6
Timber Structures,Steel,Residential,1,6,21.20887045347539,9.401753882505165,85.56624883978576,1662,Fire Resistant Paint,10,2,1.2
Timber Structures,Timber,Commercial,1,41,34.743400550690694,1.0677506665215402,42.39534222778528,1487,Fire Resistant Paint,61,49,2.5
Masonry Structures,Steel,Residential,1,3,20.24083260458031,9.88300311432473,85.78244936457247,1089,Fire Resistant Paint,7,5,4.2
Masonry Structures,Concrete,Residential,2,3,30.945239466751005,2.390936644460184,62.744939269769375,959,Fire Resistant Paint,5,3,2.5
Brick,Timber,Commercial,2,7,31.403232926406996,8.544258497462739,61.14800977229204,1071,Standard Paint,89,14,2.1
Brick,Concrete,Residential,2,4,24.688559623169517,2.7162880227706347,77.3735730528588,1601,Standard Paint,7,9,1.9
Reinforced Concrete Structures,Timber,Residential,2,3,12.02544763121911,7.513425563583791,60.154201715351064,691,Standard Paint,8,4,3.9
Sandstone,Steel,Residential,1,1,34.59255396657997,1.4074334339319021,83.37604202978065,890,Standard Paint,6,10,2.5
Timber Structures,Timber,Residential,2,2,21.409346152839344,2.0532229678371743,47.57039984680541,1263,Standard Paint,8,10,2.2
Sandstone,Steel,Commercial,2,30,19.471568526495574,9.662914674804792,42.94909889787271,465,Fire Resistant Paint,74,19,2.4
Brick,Concrete,Residential,2,4,34.47053882415128,6.014215241886682,57.44798812724579,1055,Fire Resistant Paint,7,4,1.5
Timber Structures,Steel,Residential,1,5,18.687232096432346,5.238304049751534,78.6380177870893,848,Fire Resistant Paint,10,4,3.4
Reinforced Concrete Structures,Concrete,Commercial,1,31,13.298265579525129,2.932980430918042,84.08785600628508,1721,Fire Resistant Paint,75,30,3.5
Sandstone,Concrete,Commercial,1,40,26.756352488790434,9.911029926608851,79.13126214291788,798,Fire Resistant Paint,83,11,4.7
Timber Structures,Timber,Commercial,2,42,21.968335642896694,2.047951275479071,60.480680097630284,680,Fire Resistant Paint,63,25,3.7
Sandstone,Steel,Residential,1,2,24.95097955898524,8.083675670435353,87.70390726605946,923,Fire Resistant Paint,5,1,5.4
Masonry Structures,Timber,Commercial,1,27,15.49969371833032,2.506871235139732,53.79574110597479,1817,Fire Resistant Paint,43,49,6.6
Masonry Structures,Timber,Commercial,1,27,24.423066698691592,7.713459295245936,82.27638605528864,584,Fire Resistant Paint,89,40,2.7
Masonry Structures,Timber,Commercial,2,49,18.208213460599424,3.1296324876737858,77.39830929072295,1127,Fire Resistant Paint,89,23,2.2
Reinforced Concrete Structures,Concrete,Residential,1,2,28.29119843336123,4.1135111502019175,74.41381270017777,1752,Fire Resistant Paint,3,10,3.5
Brick,Concrete,Residential,2,1,19.61539645646197,3.541210139973607,69.81395113583898,1476,Standard Paint,5,9,4.9
Masonry Structures,Steel,Residential,1,4,20.6625537036059,5.426641589665875,50.945358105267914,1877,Standard Paint,9,5,5.1
Masonry Structures,Steel,Residential,2,3,32.067817311034155,3.005531053968126,44.8326578599869,1770,Fire Resistant Paint,5,4,2.7
Timber Structures,Concrete,Residential,1,2,28.703588749935726,1.6032612332394158,40.04941817025498,1169,Standard Paint,4,6,8.3
Brick,Steel,Commercial,2,12,10.370316249305489,2.5235429672677405,64.48622611321937,1079,Standard Paint,55,15,2.2
Reinforced Concrete Structures,Steel,Residential,1,2,30.81300349110799,7.768706827252351,83.78408212592814,901,Fire Resistant Paint,9,10,5.5
Timber Structures,Steel,Residential,1,5,26.04414824868468,2.488592510160799,57.18089817069871,1331,Fire Resistant Paint,6,7,3.5
Sandstone,Concrete,Residential,1,6,16.047984539909272,7.389363211651418,60.4701247884137,197,Standard Paint,9,1,1.3
Brick,Concrete,Commercial,2,27,11.660510736173668,5.592498413885365,80.59752574676813,768,Standard Paint,73,18,4.4
Masonry Structures,Timber,Residential,1,2,30.725308590811302,8.473743996695033,54.47092854618228,1713,Fire Resistant Paint,6,2,3.9
Masonry Structures,Concrete,Commercial,1,17,34.31696576614279,6.0596324484633834,76.0040539439002,457,Standard Paint,63,42,2.3
Brick,Timber,Commercial,1,50,11.603276455173944,4.386221381313811,87.72681871256702,485,Fire Resistant Paint,84,33,3.4
Masonry Structures,Concrete,Commercial,1,13,24.619282393855414,9.582619673275389,70.7488998788977,1300,Standard Paint,51,19,2.6
Sandstone,Timber,Commercial,2,20,31.136504419975026,2.1940825406920186,77.43078639769462,986,Standard Paint,64,27,3.1
Timber Structures,Concrete,Commercial,2,13,14.393015520068433,6.211181959216565,67.699561514921,1856,Standard Paint,32,39,2.2
Reinforced Concrete Structures,Steel,Commercial,1,42,30.09287336988213,1.9533807671310166,80.6429220495929,983,Fire Resistant Paint,84,27,5.2
Reinforced Concrete Structures,Timber,Residential,2,5,18.715695511726906,1.1836206427016638,78.47940716743965,140,Standard Paint,9,1,5.4
Masonry Structures,Steel,Residential,2,4,23.606226837673322,5.396661263990452,74.11195685861199,1849,Fire Resistant Paint,8,10,5.5
Timber Structures,Timber,Residential,2,4,13.788563863166914,2.073509547492654,43.68212965059093,1615,Fire Resistant Paint,10,3,3.1
Brick,Timber,Residential,1,1,22.757250777508986,3.1938513375803064,52.703521880326626,1163,Standard Paint,6,4,1.7
Sandstone,Timber,Commercial,2,42,24.35307649702179,8.11820141453154,74.50482028470122,1817,Fire Resistant Paint,60,21,1.4
Reinforced Concrete Structures,Steel,Commercial,2,7,32.98850612705331,8.285965732797003,57.8083391933122,1102,Fire Resistant Paint,74,25,2.9
Sandstone,Concrete,Commercial,2,10,12.081332949588685,6.953102269582628,63.54626740247103,1450,Fire Resistant Paint,78,17,3.5
Sandstone,Steel,Commercial,2,13,23.723675577102476,2.8270044930479155,85.37891023320535,944,Fire Resistant Paint,82,16,4.9
Timber Structures,Timber,Residential,1,6,22.909786401511354,5.182933836891973,70.37383244670485,982,Standard Paint,8,1,3.1
Sandstone,Timber,Commercial,2,23,34.021514535803576,2.994069134141501,76.89458501003676,807,Standard Paint,83,39,5.0
Reinforced Concrete Structures,Concrete,Commercial,1,30,23.875974142174876,5.634367787853174,53.256747210368864,1996,Fire Resistant Paint,71,43,4.9
Timber Structures,Concrete,Residential,2,3,23.80899274305287,6.9313089186218075,40.323357497869004,1997,Standard Paint,10,5,3.1
Timber Structures,Timber,Residential,1,1,27.270410873909658,3.856829746869263,46.15016419815838,271,Standard Paint,4,10,5.4
Reinforced Concrete Structures,Concrete,Residential,1,5,13.198924939353908,4.02609689404871,83.86038543975661,360,Standard Paint,10,6,3.0
Brick,Steel,Commercial,1,49,15.98949408321337,6.889601581061555,81.19590955826413,1432,Standard Paint,86,20,4.6
Brick,Timber,Commercial,1,10,12.988689225827684,8.40268908045725,46.543691958675055,1383,Standard Paint,83,16,2.6
Timber Structures,Steel,Commercial,2,24,22.10726031653698,4.622033386141317,46.656379107638486,1005,Standard Paint,69,19,4.9
Brick,Concrete,Commercial,2,31,21.48855188123229,8.408288982752474,84.52670082430083,1964,Fire Resistant Paint,88,15,4.8
Timber Structures,Timber,Commercial,2,35,24.919582031161873,9.436760354002464,72.2380651520348,546,Fire Resistant Paint,47,26,4.5
Reinforced Concrete Structures,Concrete,Residential,2,5,34.85520852436345,9.156806683723513,63.93654355497989,1995,Fire Resistant Paint,10,9,4.7
Brick,Concrete,Commercial,1,20,32.22737241240277,6.501462008460791,58.640605563797806,1825,Standard Paint,73,38,4.4
Timber Structures,Concrete,Residential,2,3,27.475990032318435,3.313875186310403,70.60388342728555,125,Standard Paint,7,3,5.0
Timber Structures,Timber,Commercial,2,22,16.64429723201674,7.443535894235009,64.03005804267892,1960,Fire Resistant Paint,70,10,4.3
Timber Structures,Concrete,Commercial,1,44,21.275967613982594,4.969932757037525,72.78637890320891,1453,Fire Resistant Paint,83,33,2.9
Sandstone,Concrete,Commercial,2,33,23.66348124731915,6.753468916850934,54.479642497953975,1936,Standard Paint,68,45,3.6
Timber Structures,Steel,Residential,2,4,10.585770610876542,7.870780979808338,42.89203616088785,1933,Fire Resistant Paint,8,4,4.2
Timber Structures,Timber,Residential,2,3,18.00510021349269,3.7345096905844106,73.78032787523048,646,Standard Paint,5,8,3.4
Sandstone,Steel,Residential,1,2,15.701907188167677,1.2108405271885232,83.50103423600632,184,Standard Paint,7,4,4.2
Brick,Timber,Residential,1,3,21.067406871487236,9.164284956863073,53.41658853023725,1329,Standard Paint,9,7,1.4
Masonry Structures,Concrete,Residential,1,4,29.424875931467803,6.365278145621023,66.36927567205706,1703,Fire Resistant Paint,5,7,5.5
Sandstone,Timber,Commercial,1,44,13.49971996675858,3.4332686601365445,51.550711627078904,206,Standard Paint,98,47,2.9
Brick,Concrete,Residential,1,6,33.24956781880513,5.568767614283649,46.4357728643171,516,Fire Resistant Paint,11,8,5.3
Sandstone,Timber,Residential,1,4,23.456908876896243,6.970438313415746,50.558983737275845,1347,Fire Resistant Paint,6,1,2.7
Brick,Steel,Commercial,2,32,20.723421716507367,1.0331639781203537,76.89896917499416,1581,Fire Resistant Paint,82,45,1.6
Timber Structures,Steel,Commercial,2,36,12.920618954623711,8.416623366114981,81.27123232107995,665,Standard Paint,67,48,3.0
Sandstone,Timber,Residential,1,2,16.851134224842014,7.916222655893366,64.59825885188548,1664,Standard Paint,8,9,1.9
Masonry Structures,Timber,Residential,2,1,31.055670237539346,2.409022900184546,77.3650837753492,1857,Fire Resistant Paint,8,2,4.5
Timber Structures,Timber,Residential,2,5,15.30726107432891,9.737977640124809,75.46771012711321,1282,Standard Paint,10,1,7.0
Sandstone,Steel,Commercial,2,10,25.559024379238796,8.995478656510963,76.89663278033942,659,Standard Paint,57,21,1.4
Timber Structures,Steel,Commercial,1,45,33.72236153400702,1.1490401719964733,48.22819899970952,1220,Standard Paint,68,20,2.7
Timber Structures,Steel,Commercial,2,9,30.42556397914915,5.491091660385721,69.7641767749049,1578,Standard Paint,48,32,5.6
Brick,Steel,Residential,1,6,29.559664177001945,1.905939622854351,75.73278724667075,1004,Standard Paint,9,7,4.2
Masonry Structures,Concrete,Commercial,2,14,16.772544911957088,8.689203192559603,50.087061091989085,236,Fire Resistant Paint,84,22,3.0
Reinforced Concrete Structures,Steel,Commercial,2,36,19.558561693165714,7.469761494020762,62.75366633452952,1933,Standard Paint,95,23,2.4
Reinforced Concrete Structures,Timber,Residential,2,2,13.561783379861813,2.533244008992704,68.88764826887976,1850,Fire Resistant Paint,5,4,5.2
Timber Structures,Timber,Commercial,2,19,19.03143965490841,4.888817080178593,43.55272239501293,1469,Fire Resistant Paint,64,28,3.2
Brick,Steel,Commercial,1,21,23.804512285463694,4.897345977638798,42.39779121154016,1067,Standard Paint,83,27,2.7
Brick,Steel,Commercial,1,49,28.63282807342286,8.332161241292333,58.12828802395833,1744,Fire Resistant Paint,72,40,3.2
Reinforced Concrete Structures,Concrete,Commercial,2,11,29.83135160797475,9.67004414857902,58.87385795497626,899,Standard Paint,81,22,5.9
Masonry Structures,Timber,Residential,1,5,12.00516153706344,7.859830529877199,76.39683600319714,1391,Standard Paint,5,10,1.7
Reinforced Concrete Structures,Concrete,Commercial,2,45,28.64932602356785,6.445596948360408,67.05100495005195,295,Fire Resistant Paint,74,28,2.5
Timber Structures,Steel,Commercial,2,42,30.97510370982093,7.869357204909767,80.40280895198856,590,Standard Paint,67,14,4.1
Timber Structures,Concrete,Residential,2,2,26.6597264652533,3.3394311993364054,59.234014596346256,1688,Fire Resistant Paint,4,3,6.0
Timber Structures,Steel,Residential,2,2,22.090040312468062,9.554151212950428,89.01897573313292,1991,Fire Resistant Paint,10,10,2.4
Timber Structures,Timber,Residential,2,6,12.110406624863263,2.619449898431622,76.8991582554618,1733,Fire Resistant Paint,9,10,1.8
Sandstone,Concrete,Commercial,2,23,31.406070003401233,3.980545125232922,52.054209173229154,534,Fire Resistant Paint,58,41,1.5
Masonry Structures,Steel,Residential,1,5,33.642324792985974,3.8685445397120555,48.45508877552512,1747,Fire Resistant Paint,8,2,2.8
Brick,Concrete,Commercial,1,30,33.185793217567394,3.7052745394981974,72.21980584219096,182,Fire Resistant Paint,55,47,1.9
Brick,Steel,Residential,1,5,17.613080016767935,3.91439131652644,79.44330018352912,234,Standard Paint,10,10,2.8
Brick,Concrete,Commercial,1,18,21.276491759544346,7.004726788591877,44.139907129903776,704,Standard Paint,85,14,2.0
Brick,Timber,Commercial,1,33,11.214981390641631,8.98932005435563,51.15851053044979,1908,Fire Resistant Paint,72,32,1.6
Brick,Timber,Residential,2,5,34.5183254464678,5.76849348186274,84.48836196531568,736,Standard Paint,9,7,1.1
Reinforced Concrete Structures,Concrete,Residential,2,4,10.531682546790885,2.9078945631490276,69.00489260475369,1350,Standard Paint,9,9,3.1
Brick,Steel,Residential,1,6,22.209597884241113,4.859400318724656,77.0641656366266,1566,Fire Resistant Paint,8,6,7.1
Timber Structures,Concrete,Residential,1,6,32.371860202203905,9.91580301326805,53.175892071776914,614,Standard Paint,9,8,1.6
Sandstone,Steel,Residential,2,2,12.292064357767876,2.4697451240367543,81.84791934774215,220,Fire Resistant Paint,7,6,3.9
Reinforced Concrete Structures,Concrete,Residential,2,4,14.568476163641407,3.7388452343449754,68.11298471390901,1467,Fire Resistant Paint,9,10,6.0
Masonry Structures,Concrete,Commercial,1,33,15.02698768334181,1.7983351451099583,59.750772749731745,291,Fire Resistant Paint,94,33,4.6
Sandstone,Timber,Residential,1,5,32.21294538504532,6.905480963080032,88.71628640964693,1338,Standard Paint,10,10,6.8
Sandstone,Steel,Residential,1,4,29.927636967095776,6.698184609536896,45.967517003228714,515,Standard Paint,9,7,3.4
Sandstone,Concrete,Residential,2,3,24.57737972591937,3.1969942571276317,42.27448099853188,1357,Fire Resistant Paint,8,10,6.4
Reinforced Concrete Structures,Steel,Residential,1,6,12.6966986744842,1.8110065395570922,47.471692612550676,1482,Standard Paint,10,3,3.0
Brick,Steel,Residential,1,5,15.058805813809844,5.08592826263013,74.78435796574749,426,Standard Paint,7,1,3.3
Masonry Structures,Steel,Residential,2,6,34.08217927996179,7.711371722936854,55.595515269361336,1723,Standard Paint,9,1,6.3
Sandstone,Timber,Residential,2,1,20.642470095473055,2.954345422789184,86.28270922262374,1216,Standard Paint,7,3,2.5
Timber Structures,Steel,Residential,1,2,29.112504394954872,5.713070767270688,80.4751802452258,576,Fire Resistant Paint,5,9,4.2
Reinforced Concrete Structures,Timber,Residential,1,1,17.430761038692854,3.6799197537326984,71.91587755393762,1960,Fire Resistant Paint,5,3,1.8
Timber Structures,Timber,Commercial,1,48,28.62804996096477,2.4919751956548186,47.297940780724545,474,Standard Paint,85,23,2.8
Brick,Concrete,Commercial,1,39,32.1191108021099,9.502597328137579,59.36031909602825,1187,Fire Resistant Paint,69,15,4.2
Sandstone,Concrete,Commercial,2,38,14.556752407450883,2.502731477007544,42.81443666850844,1502,Standard Paint,65,22,3.0
Sandstone,Steel,Residential,1,5,14.32154951444927,2.561705766898436,55.6739129690342,1034,Standard Paint,8,10,1.4
Masonry Structures,Concrete,Residential,2,2,30.604344607257964,8.946499909232426,50.39082609140846,658,Standard Paint,6,3,3.7
Brick,Concrete,Residential,1,4,14.798836240015646,9.279578032235795,43.54242757170975,193,Standard Paint,8,2,2.3
Masonry Structures,Timber,Commercial,2,48,21.49587666306049,7.04462861366527,44.871562350620145,1875,Fire Resistant Paint,72,30,3.3
Sandstone,Steel,Commercial,2,32,17.843229292458698,3.585907486327907,63.128125112274375,1215,Fire Resistant Paint,76,20,3.3
Timber Structures,Concrete,Residential,2,4,31.70580383005936,9.665807413966524,63.51675209711246,1561,Fire Resistant Paint,4,2,1.8
Masonry Structures,Concrete,Commercial,1,11,22.552204791158367,8.253062947759666,46.380263126085055,209,Standard Paint,66,10,4.5
Sandstone,Steel,Residential,2,2,17.905494713348208,4.2264550239122585,89.5490543940121,1500,Standard Paint,5,9,1.9
Brick,Concrete,Residential,2,4,32.43490736349311,6.503067355920595,50.68672298528806,391,Fire Resistant Paint,9,7,5.4
Masonry Structures,Steel,Residential,1,3,12.162449097666771,6.172055164573537,49.31187226920696,585,Fire Resistant Paint,6,4,3.1
Timber Structures,Concrete,Residential,2,5,19.478676749350146,1.3217997401836126,52.74094285489325,1567,Standard Paint,9,3,3.9
Brick,Concrete,Residential,2,3,22.163084884444487,2.198203827571107,78.88838383166558,384,Fire Resistant Paint,6,7,5.9
Sandstone,Concrete,Commercial,1,7,14.543088386871482,3.8619336752455,64.0454701382756,294,Fire Resistant Paint,89,10,3.0
Sandstone,Timber,Residential,1,3,11.00353677261474,9.26548207829496,85.23482249879578,1422,Standard Paint,6,8,5.9
Timber Structures,Concrete,Residential,1,4,14.65127172708202,2.830733383042327,51.79329689702094,1535,Fire Resistant Paint,9,10,4.4
Brick,Concrete,Residential,1,5,32.64619816127926,3.731517062132228,70.45040989240101,698,Fire Resistant Paint,9,4,1.5
Masonry Structures,Timber,Residential,2,2,22.68029421614681,6.971840986859083,44.42186610137729,1496,Fire Resistant Paint,3,4,5.4
Brick,Steel,Commercial,1,43,11.788598530355829,5.446645591640411,76.57694164865498,1188,Standard Paint,67,39,4.0
Timber Structures,Steel,Commercial,1,42,28.75651661431907,4.41340635015688,67.23648018391097,1520,Fire Resistant Paint,67,26,3.7
Sandstone,Concrete,Residential,1,1,15.188591693242403,2.7438202610466766,68.91962850023896,324,Fire Resistant Paint,7,1,3.2
Brick,Timber,Commercial,1,9,19.924243840024545,1.2502914248748462,45.13390856760037,1742,Standard Paint,89,46,5.2
Sandstone,Timber,Residential,1,3,30.008823969416504,7.032739294978127,81.2915532274987,765,Fire Resistant Paint,7,9,3.1
Timber Structures,Concrete,Commercial,1,39,27.843528174571638,3.9505799777421,89.55658235144261,661,Standard Paint,99,12,4.7
Masonry Structures,Steel,Residential,2,5,13.020686373175996,2.43802609498241,48.70267589928363,1499,Fire Resistant Paint,6,10,2.5
Sandstone,Timber,Commercial,1,24,28.881272341841598,5.575521332855998,81.60087372403268,1800,Fire Resistant Paint,51,39,2.8
Sandstone,Steel,Commercial,2,36,31.15459549245915,1.4799175593459508,77.89423036541939,540,Fire Resistant Paint,82,34,4.8
Timber Structures,Steel,Commercial,1,15,33.76373869688986,3.458282838244724,48.786422134219315,1190,Standard Paint,73,24,3.3
Reinforced Concrete Structures,Steel,Commercial,2,12,19.701387805467498,9.343092695035523,82.15432843513216,1491,Fire Resistant Paint,38,32,1.1
Masonry Structures,Steel,Residential,2,5,13.175913294501068,7.706446441416528,41.55326644294143,1576,Fire Resistant Paint,5,10,4.5
Reinforced Concrete Structures,Timber,Commercial,2,41,32.31554456171758,2.0405022314023578,79.61475782773064,1295,Standard Paint,64,43,4.2
Brick,Timber,Commercial,2,46,17.947820147051523,3.8118801917037066,65.89810270318185,247,Fire Resistant Paint,95,10,4.9
Masonry Structures,Steel,Commercial,2,41,29.28244905624533,8.782540636426855,62.32211213378595,1182,Standard Paint,77,25,1.9
Masonry Structures,Timber,Commercial,1,48,28.328670228599954,3.656680097414494,40.0552157204574,765,Standard Paint,92,39,4.5
Reinforced Concrete Structures,Concrete,Residential,1,4,28.409022368432897,5.19389295524777,42.894480438498526,175,Standard Paint,8,1,8.0
Brick,Concrete,Residential,2,2,13.36521299277992,2.067957036719564,52.9449692045047,1237,Standard Paint,6,7,3.4
Reinforced Concrete Structures,Timber,Commercial,1,27,25.29234821696624,7.902465994950871,81.51600683138176,1964,Standard Paint,45,48,4.8
Masonry Structures,Steel,Commercial,1,39,16.235432111620423,3.800163134727064,66.33169446354898,1001,Fire Resistant Paint,84,39,4.2
Timber Structures,Concrete,Residential,2,4,32.2947676629161,6.002589485456165,86.44636334396522,456,Standard Paint,4,10,3.9
Timber Structures,Steel,Commercial,1,27,28.032482068688605,9.664811343797835,53.914977839804806,790,Standard Paint,42,42,4.4
Reinforced Concrete Structures,Steel,Commercial,1,26,25.050193630196013,3.7374489782383216,76.50459381299513,1441,Standard Paint,99,23,4.6
Timber Structures,Timber,Commercial,1,33,33.67349724251822,1.5021512603143252,58.01024588709159,1726,Standard Paint,93,34,4.1
Brick,Timber,Residential,2,4,18.50281884951894,6.275058928046758,56.19696433519407,437,Standard Paint,4,1,2.2
Timber Structures,Timber,Commercial,1,36,20.24550128597422,9.801130712255958,52.063128097111516,1269,Standard Paint,49,31,3.5
Reinforced Concrete Structures,Steel,Residential,1,6,32.197207253181425,8.770483474457059,69.3638446984355,1913,Fire Resistant Paint,7,4,1.3
Sandstone,Concrete,Commercial,2,24,26.038534574659746,7.543418320425103,64.19774649834693,753,Fire Resistant Paint,96,43,5.3
Brick,Timber,Commercial,2,31,11.182072416369135,3.3891017077564882,46.782129889784436,274,Standard Paint,55,45,6.2
Sandstone,Concrete,Residential,1,4,20.86916687315722,1.5303509758380525,57.92690950352649,379,Fire Resistant Paint,10,5,6.8
Reinforced Concrete Structures,Steel,Residential,1,1,17.026362931555,5.6719536955589,63.17796418863468,654,Fire Resistant Paint,8,10,1.3
Sandstone,Timber,Commercial,2,31,30.880619450331075,1.8101938202436765,70.1616626354765,526,Fire Resistant Paint,72,33,6.4
Brick,Concrete,Residential,1,5,29.324409503589372,3.512597511842152,76.60505089156251,721,Standard Paint,6,2,2.5
Reinforced Concrete Structures,Concrete,Residential,1,3,21.510231970927556,8.147754588129294,50.52158291006284,104,Fire Resistant Paint,8,6,3.3
Brick,Timber,Residential,1,6,28.894752535359196,2.8466575316869047,47.67212022730439,1298,Standard Paint,10,9,1.3
Brick,Concrete,Residential,2,1,22.24320833807032,8.31380315189995,68.16296837216942,866,Standard Paint,3,6,5.8
Timber Structures,Timber,Residential,2,6,14.068005447914274,8.153951684258395,62.89163496296017,717,Standard Paint,7,10,3.7
Reinforced Concrete Structures,Timber,Commercial,1,21,12.632097986249505,9.165647680651594,69.46308195790581,902,Fire Resistant Paint,85,27,4.2
Sandstone,Steel,Residential,2,1,33.43991879583642,2.5444073998256282,58.75964749186808,529,Standard Paint,5,5,4.3
Timber Structures,Concrete,Residential,2,3,16.4340993858986,5.772432827741407,57.6151342446271,1945,Fire Resistant Paint,4,6,6.2
Timber Structures,Concrete,Residential,2,6,12.43092391170304,6.434466583236203,80.89605758628558,1920,Fire Resistant Paint,7,5,3.9
Brick,Steel,Residential,1,2,10.283214793696906,3.9991204720807083,74.20009181131687,261,Standard Paint,3,4,2.2
Sandstone,Steel,Residential,2,3,27.79278169603897,4.5856400646504625,65.09367371201998,845,Fire Resistant Paint,5,3,1.2
Timber Structures,Concrete,Residential,1,4,15.144436661086399,1.84345473549032,69.27472380848286,1530,Fire Resistant Paint,10,2,3.7
Timber Structures,Timber,Residential,2,6,14.947080594064232,7.906218180778864,47.96878353649119,1690,Standard Paint,10,6,2.9
Brick,Timber,Commercial,2,27,12.251328752866339,3.7227888616903804,68.61446161942371,1514,Standard Paint,61,11,3.9
Masonry Structures,Steel,Commercial,1,20,21.477908918855714,1.4725704732566463,55.858631445712255,475,Fire Resistant Paint,81,12,2.0
Masonry Structures,Timber,Commercial,1,16,18.534652756683954,9.79750345048127,68.19658636509536,492,Fire Resistant Paint,44,21,4.3
Sandstone,Concrete,Commercial,1,34,12.359602950793047,7.188173430177425,43.13786879488685,1209,Fire Resistant Paint,94,45,6.1
Reinforced Concrete Structures,Steel,Commercial,1,19,20.551355135220604,5.023999342502648,56.31080639777014,1681,Standard Paint,54,15,4.3
Sandstone,Concrete,Commercial,1,19,26.890487309898482,5.634337902681077,66.85473504564087,203,Fire Resistant Paint,51,36,5.5
Sandstone,Timber,Residential,1,6,23.55295700852338,6.367697799853111,71.47026473990313,478,Standard Paint,7,3,2.5
Masonry Structures,Steel,Residential,1,6,30.47826468366092,3.2168637505096918,59.46139951885425,1718,Fire Resistant Paint,11,7,3.7
Sandstone,Concrete,Commercial,1,48,21.429316855712905,1.0031444268559255,55.04094514135039,1235,Standard Paint,92,11,1.9
Sandstone,Steel,Residential,1,1,23.25275020047293,3.01605774645812,42.266632503213984,666,Standard Paint,2,10,7.8
Reinforced Concrete Structures,Timber,Commercial,2,25,18.445786411495007,7.308269502764857,51.14197711254952,411,Fire Resistant Paint,63,39,1.9
Sandstone,Steel,Residential,1,6,11.963589771102559,2.121414579722903,80.52613364845396,1597,Standard Paint,8,7,1.7
Sandstone,Concrete,Commercial,1,7,30.848352093377937,7.929630247061432,48.15295158738269,1364,Fire Resistant Paint,55,28,3.6
Sandstone,Steel,Residential,1,6,29.723826418566258,2.9118347888761655,54.4037244468276,1294,Fire Resistant Paint,10,4,5.7
Reinforced Concrete Structures,Timber,Residential,2,2,24.748256753117396,7.860948176812665,88.31455823492874,1343,Standard Paint,6,7,4.6
Masonry Structures,Steel,Commercial,1,25,10.16469244914728,8.41258088615986,52.84308236492427,640,Fire Resistant Paint,82,46,3.4
Masonry Structures,Concrete,Commercial,2,47,18.006779449040465,1.4565535135586205,68.73018907987081,291,Standard Paint,88,22,2.9
Masonry Structures,Concrete,Residential,1,6,24.398979688110177,5.570476933043941,63.508406510635936,767,Fire Resistant Paint,11,5,1.6
Sandstone,Steel,Residential,2,3,28.93424392679449,7.617831401001085,43.36406213232003,989,Fire Resistant Paint,8,8,1.9
Sandstone,Timber,Residential,1,6,24.855594106269578,7.260558655497173,43.41374003744497,429,Standard Paint,10,1,2.5
